"cell","truth","preliminary","predicted"
"GSM1486634","v6.5 mouse serum+LIF","3","2"
"GSM1486635","v6.5 mouse serum+LIF","3","2"
"GSM1486636","v6.5 mouse serum+LIF","3","2"
"GSM1486637","v6.5 mouse serum+LIF","3","2"
"GSM1486638","v6.5 mouse serum+LIF","3","2"
"GSM1486639","v6.5 mouse serum+LIF","3","2"
"GSM1486643","v6.5 mouse serum+LIF","3","2"
"GSM1486644","v6.5 mouse serum+LIF","3","2"
"GSM1486645","v6.5 mouse serum+LIF","3","2"
"GSM1486646","v6.5 mouse serum+LIF","3","2"
"GSM1486647","v6.5 mouse serum+LIF","3","2"
"GSM1486649","v6.5 mouse serum+LIF","3","2"
"GSM1486652","v6.5 mouse serum+LIF","3","2"
"GSM1486654","v6.5 mouse serum+LIF","3","2"
"GSM1486655","v6.5 mouse serum+LIF","3","2"
"GSM1486656","v6.5 mouse serum+LIF","3","2"
"GSM1486657","v6.5 mouse serum+LIF","3","2"
"GSM1486658","v6.5 mouse serum+LIF","3","2"
"GSM1486659","v6.5 mouse serum+LIF","3","1"
"GSM1486660","v6.5 mouse serum+LIF","3","2"
"GSM1486661","v6.5 mouse serum+LIF","3","2"
"GSM1486662","v6.5 mouse serum+LIF","3","2"
"GSM1486663","v6.5 mouse serum+LIF","3","2"
"GSM1486664","v6.5 mouse serum+LIF","3","2"
"GSM1486665","v6.5 mouse serum+LIF","3","2"
"GSM1486666","v6.5 mouse serum+LIF","3","2"
"GSM1486667","v6.5 mouse serum+LIF","3","2"
"GSM1486668","v6.5 mouse serum+LIF","3","2"
"GSM1486669","v6.5 mouse serum+LIF","3","2"
"GSM1486670","v6.5 mouse serum+LIF","3","2"
"GSM1486672","v6.5 mouse serum+LIF","3","2"
"GSM1486673","v6.5 mouse serum+LIF","3","2"
"GSM1486674","v6.5 mouse serum+LIF","3","2"
"GSM1486676","v6.5 mouse serum+LIF","3","2"
"GSM1486678","v6.5 mouse serum+LIF","3","2"
"GSM1486679","v6.5 mouse serum+LIF","3","2"
"GSM1486681","v6.5 mouse serum+LIF","3","2"
"GSM1486682","v6.5 mouse serum+LIF","3","2"
"GSM1486683","v6.5 mouse serum+LIF","3","2"
"GSM1486684","v6.5 mouse serum+LIF","3","2"
"GSM1486685","v6.5 mouse serum+LIF","3","2"
"GSM1486686","v6.5 mouse serum+LIF","3","2"
"GSM1486687","v6.5 mouse serum+LIF","3","2"
"GSM1486688","v6.5 mouse serum+LIF","3","2"
"GSM1486689","v6.5 mouse serum+LIF","3","2"
"GSM1486690","v6.5 mouse serum+LIF","3","2"
"GSM1486691","v6.5 mouse serum+LIF","3","2"
"GSM1486692","v6.5 mouse serum+LIF","3","2"
"GSM1486693","v6.5 mouse serum+LIF","3","2"
"GSM1486694","v6.5 mouse serum+LIF","3","2"
