"data.name","fmethod","clust","n","k_policy","gate_rule","gate_rule_src","seed","ARI","FM","Jaccard","Purity","nfeat","kfound","k_used","stage1_n","stage2_n","ratio","total","dropped","elapsed","set"
"Baron","DIFS","Refined Louvain",0,"estimated","submitted","object",1,0.269812690351273,0.427242529746053,0.188586332969187,0.956237600653518,1940,38,66,1800,6059,"1:3",8569,0,6427.266,"baronfix"
"Baron","DIFS","Refined Louvain",0,"true","submitted","object",1,0.506680551302267,0.611468926539471,0.396420882537679,0.927879565876998,1940,14,14,1700,2460,"1:1",8569,0,3353.427,"baronfix"
"Baron","DIFS","Refined Louvain",100,"estimated","submitted","object",1,0.2802386844871,0.429973636271986,0.198938346943661,0.926595868829502,100,28,66,1800,6059,"2:3",8569,0,5586.008,"baronfix"
"Baron","DIFS","Refined Louvain",100,"true","submitted","object",1,0.618259986815556,0.701636744461082,0.50571061246364,0.940016337962423,100,14,14,1700,2460,"2:1",8569,0,4626.971,"baronfix"
"Baron","DIFS","Refined Louvain",200,"estimated","submitted","object",1,0.313083872381778,0.461860525594313,0.223812422171437,0.954370404948069,200,27,66,1800,6059,"2:3",8569,0,4592.597,"baronfix"
"Baron","DIFS","Refined Louvain",200,"true","submitted","object",1,0.53908752765545,0.640822823901286,0.425309828124515,0.931030458629945,200,14,14,1700,2460,"2:3",8569,0,3325.298,"baronfix"
"Baron","DIFS","Refined Louvain",300,"estimated","submitted","object",1,0.288864257918581,0.44076973604208,0.20457308764505,0.941533434473101,300,30,66,1800,6059,"2:3",8569,0,5272.813,"baronfix"
"Baron","DIFS","Refined Louvain",300,"true","submitted","object",1,0.537822433528317,0.636495304364152,0.42598406441501,0.917960088691796,300,14,14,1700,2460,"1:1",8569,0,3298.894,"baronfix"
"Baron","DIFS","Refined Louvain",500,"estimated","submitted","object",1,0.260894073315848,0.416309894947163,0.182629023950026,0.942233632862644,500,33,66,1800,6059,"1:2",8569,0,6402.006,"baronfix"
"Baron","DIFS","Refined Louvain",500,"true","submitted","object",1,0.568695386535028,0.664611720334023,0.454139805112623,0.949935815147625,500,14,14,1700,2460,"2:1",8569,0,3423.331,"baronfix"
