"data.name","n","ARI_d","ARI_h","dARI"
"Baron",100,0.704929266781325,0.702256414728945,0.00267285205237999
"Darmanis",100,0.602386209041471,0.608107804415962,-0.0057215953744908
"Fletcher",100,0.66343973644711,0.650704199602817,0.0127355368442924
"Koh",100,0.988675635479534,0.955133728551032,0.0335419069285025
"Kumar",100,0.994385734408113,0.994385734408113,0
"Lawlor",100,0.638015833661405,0.615255774207819,0.0227600594535861
"Muraro",100,0.708532642355316,0.698832528731247,0.00970011362406942
"Romanov",100,0.54984373969472,0.506162255132183,0.0436814845625374
"SimKumar4easy",100,1,1,0
"SimKumar4hard",100,1,1,0
"Trapnell",100,0.315360687706812,0.317963818545836,-0.00260313083902441
"Zhengmix4eq",100,0.819522679151754,0.812760624272928,0.00676205487882586
"Zhengmix8eq",100,0.565869230856287,0.547824889707889,0.0180443411483989
"Baron",300,0.55416947188972,0.57208893652507,-0.01791946463535
"Darmanis",300,0.657741608040316,0.66178250833404,-0.00404090029372439
"Fletcher",300,0.794747334742265,0.812215929907651,-0.0174685951653859
"Koh",300,0.963691197410938,0.960808855268506,0.00288234214243277
"Kumar",300,0.994385734408113,0.994385734408113,0
"Lawlor",300,0.725211515206542,0.625436730070451,0.0997747851360913
"Muraro",300,0.698460583333262,0.724143810373348,-0.0256832270400859
"Romanov",300,0.567365081350394,0.568906945039802,-0.00154186368940801
"SimKumar4easy",300,1,1,0
"SimKumar4hard",300,1,1,0
"Trapnell",300,0.438694760000548,0.422950989273111,0.0157437707274367
"Zhengmix4eq",300,0.834601373773983,0.829716274694681,0.0048850990793019
"Zhengmix8eq",300,0.672487687731563,0.616525393603214,0.0559622941283487
