"data.name","clust","n","ARI_d","ARI_h","dARI"
"Baron","Refined Louvain",100,0.618259986815556,0.61013358797074,0.00812639884481603
"Baron","SC3",100,0.791598546747094,0.79437924148715,-0.00278069474005604
"Darmanis","Refined Louvain",100,0.592417297291452,0.542563274272567,0.0498540230188853
"Darmanis","SC3",100,0.61235512079149,0.673652334559356,-0.0612972137678668
"Fletcher","Refined Louvain",100,0.599847079604166,0.5816740594449,0.0181730201592659
"Fletcher","SC3",100,0.727032393290053,0.719734339760734,0.00729805352931889
"Koh","Refined Louvain",100,0.988345058506465,0.966816100896362,0.0215289576101029
"Koh","SC3",100,0.989006212452603,0.943451356205701,0.045554856246902
"Kumar","Refined Louvain",100,0.988771468816226,0.988771468816226,0
"Kumar","SC3",100,1,1,0
"Lawlor","Refined Louvain",100,0.548657359988964,0.474655258985114,0.0740021010038502
"Lawlor","SC3",100,0.727374307333847,0.755856289430525,-0.0284819820966781
"Muraro","Refined Louvain",100,0.719626734361174,0.665647643376376,0.0539790909847983
"Muraro","SC3",100,0.697438550349458,0.732017414086117,-0.0345788637366593
"Romanov","Refined Louvain",100,0.514614017679569,0.525897847165489,-0.0112838294859193
"Romanov","SC3",100,0.585073461709872,0.486426663098877,0.0986467986109941
"SimKumar4easy","Refined Louvain",100,1,1,0
"SimKumar4easy","SC3",100,1,1,0
"SimKumar4hard","Refined Louvain",100,1,1,0
"SimKumar4hard","SC3",100,1,1,0
"Trapnell","Refined Louvain",100,0.421155504048502,0.427790914697616,-0.00663541064911388
"Trapnell","SC3",100,0.209565871365121,0.208136722394056,0.00142914897106503
"Zhengmix4eq","Refined Louvain",100,0.932724156417917,0.927562733724701,0.00516142269321607
"Zhengmix4eq","SC3",100,0.706321201885592,0.697958514821156,0.00836268706443555
"Zhengmix8eq","Refined Louvain",100,0.590950347981019,0.59214338391022,-0.00119303592920106
"Zhengmix8eq","SC3",100,0.540788113731556,0.503506395505557,0.037281718225999
"Baron","Refined Louvain",300,0.537822433528317,0.53973447450412,-0.001912040975803
"Baron","SC3",300,0.570516510251123,0.60444339854602,-0.033926888294897
"Darmanis","Refined Louvain",300,0.624047263040861,0.63552985561607,-0.0114825925752092
"Darmanis","SC3",300,0.691435953039771,0.688035161052011,0.00340079198776033
"Fletcher","Refined Louvain",300,0.810343468404158,0.841354447642295,-0.0310109792381364
"Fletcher","SC3",300,0.779151201080371,0.783077412173006,-0.00392621109263536
"Koh","Refined Louvain",300,0.978647478157131,0.982984889594336,-0.00433741143720479
"Koh","SC3",300,0.948734916664746,0.938632820942675,0.0101020957220702
"Kumar","Refined Louvain",300,0.988771468816226,0.988771468816226,0
"Kumar","SC3",300,1,1,0
"Lawlor","Refined Louvain",300,0.689982456891451,0.517232198353979,0.172750258537472
"Lawlor","SC3",300,0.760440573521634,0.733641261786924,0.0267993117347102
"Muraro","Refined Louvain",300,0.66412856027082,0.716078119253991,-0.0519495589831709
"Muraro","SC3",300,0.732792606395704,0.732209501492704,0.000583104902999176
"Romanov","Refined Louvain",300,0.582116924893038,0.539566127156247,0.0425507977367915
"Romanov","SC3",300,0.55261323780775,0.598247762923357,-0.0456345251156073
"SimKumar4easy","Refined Louvain",300,1,1,0
"SimKumar4easy","SC3",300,1,1,0
"SimKumar4hard","Refined Louvain",300,1,1,0
"SimKumar4hard","SC3",300,1,1,0
"Trapnell","Refined Louvain",300,0.421605112878002,0.396850738858929,0.0247543740190729
"Trapnell","SC3",300,0.455784407123095,0.449051239687294,0.00673316743580049
"Zhengmix4eq","Refined Louvain",300,0.975490551633489,0.955536315492673,0.0199542361408159
"Zhengmix4eq","SC3",300,0.693712195914477,0.70389623389669,-0.0101840379822121
"Zhengmix8eq","Refined Louvain",300,0.712816122239834,0.613452543145997,0.0993635790938374
"Zhengmix8eq","SC3",300,0.632159253223291,0.619598244060432,0.01256100916286
