"result_set","dataset","feature_method","clustering_method","k_policy","gate_rule","gate_rule_recorded","seed","n_requested","n_features_realised","gate_n","k_true","k_estimated","k_used_clustering","n_clusters_found","n_cells_total","n_cells_scored","n_cells_dropped","n_cells_unlabelled","difs_stage1_n","difs_stage2_n","difs_ratio_nominal","ARI","FM","Jaccard","Purity","elapsed_sec","source_file","baron_repaired","ARI_before_repair","source_result_set","is_analysis_row"
"ncurve","Baron","DIFS","Refined Louvain","estimated","submitted",TRUE,1,0,1940,1940,14,66,66,38,8569,8569,0,0,1800,6059,"1:3",0.269812690351273,0.427242529746053,0.188586332969187,0.956237600653518,6427.266,"Baron_DIFS_Refined Louvain_n0000_k-estimated_g-submitted_seed-1.rds",TRUE,0.264633878180399,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","true","submitted",TRUE,1,0,1940,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.506680551302267,0.611468926539471,0.396420882537679,0.927879565876998,3353.427,"Baron_DIFS_Refined Louvain_n0000_k-true_g-submitted_seed-1.rds",TRUE,0.505980506397891,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","estimated","submitted",TRUE,1,100,100,1940,14,66,66,28,8569,8569,0,0,1800,6059,"2:3",0.2802386844871,0.429973636271986,0.198938346943661,0.926595868829502,5586.008,"Baron_DIFS_Refined Louvain_n0100_k-estimated_g-submitted_seed-1.rds",TRUE,0.26132486864251,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","true","submitted",TRUE,1,100,100,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:1",0.618259986815556,0.701636744461082,0.50571061246364,0.940016337962423,4626.971,"Baron_DIFS_Refined Louvain_n0100_k-true_g-submitted_seed-1.rds",TRUE,0.551850382469491,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","estimated","submitted",TRUE,1,200,200,1940,14,66,66,27,8569,8569,0,0,1800,6059,"2:3",0.313083872381778,0.461860525594313,0.223812422171437,0.954370404948069,4592.597,"Baron_DIFS_Refined Louvain_n0200_k-estimated_g-submitted_seed-1.rds",TRUE,0.321082149517197,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","true","submitted",TRUE,1,200,200,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:3",0.53908752765545,0.640822823901286,0.425309828124515,0.931030458629945,3325.298,"Baron_DIFS_Refined Louvain_n0200_k-true_g-submitted_seed-1.rds",TRUE,0.538444848454247,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","estimated","submitted",TRUE,1,300,300,1940,14,66,66,30,8569,8569,0,0,1800,6059,"2:3",0.288864257918581,0.44076973604208,0.20457308764505,0.941533434473101,5272.813,"Baron_DIFS_Refined Louvain_n0300_k-estimated_g-submitted_seed-1.rds",TRUE,0.309455928423625,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","true","submitted",TRUE,1,300,300,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.537822433528317,0.636495304364152,0.42598406441501,0.917960088691796,3298.894,"Baron_DIFS_Refined Louvain_n0300_k-true_g-submitted_seed-1.rds",TRUE,0.575425836778816,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","estimated","submitted",TRUE,1,500,500,1940,14,66,66,33,8569,8569,0,0,1800,6059,"1:2",0.260894073315848,0.416309894947163,0.182629023950026,0.942233632862644,6402.006,"Baron_DIFS_Refined Louvain_n0500_k-estimated_g-submitted_seed-1.rds",TRUE,0.259486842557615,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","true","submitted",TRUE,1,500,500,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:1",0.568695386535028,0.664611720334023,0.454139805112623,0.949935815147625,3423.331,"Baron_DIFS_Refined Louvain_n0500_k-true_g-submitted_seed-1.rds",TRUE,0.520542461764284,"baronfix",TRUE
"ncurve","Baron","DIFS","Refined Louvain","estimated","submitted",TRUE,1,750,750,1940,14,66,66,38,8569,8569,0,0,1800,6059,"2:3",0.25349252363168,0.412535026530544,0.176022410840327,0.957171198506243,6671.878,"Baron_DIFS_Refined Louvain_n0750_k-estimated_g-submitted_seed-1.rds",TRUE,0.252006390405606,"baronfix",TRUE
