"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","DIFS","Refined Louvain","estimated",0,1940,0.269812690351273,TRUE
"Baron","FEAST","Refined Louvain","estimated",0,1940,0.266286357316538,FALSE
"Baron","GateOnly","Refined Louvain","estimated",0,1940,0.241184100743162,FALSE
"Baron","Seurat","Refined Louvain","estimated",0,1940,0.246015968959089,FALSE
"Baron","Variance","Refined Louvain","estimated",0,1940,0.237525299219863,FALSE
"Baron","DIFS","SC3","estimated",0,1940,0.215628074638968,TRUE
"Baron","FEAST","SC3","estimated",0,1940,0.189266049382303,TRUE
"Baron","GateOnly","SC3","estimated",0,1940,0.190438643697337,TRUE
"Baron","Seurat","SC3","estimated",0,1940,0.188398343430703,TRUE
"Baron","Variance","SC3","estimated",0,1940,0.183738684590943,TRUE
"Baron","DIFS","Refined Louvain","estimated",100,100,0.2802386844871,TRUE
"Baron","FEAST","Refined Louvain","estimated",100,100,0.0111547021808908,FALSE
"Baron","GateOnly","Refined Louvain","estimated",100,100,0.219212335218694,FALSE
"Baron","Seurat","Refined Louvain","estimated",100,100,0.118751669207668,FALSE
"Baron","Variance","Refined Louvain","estimated",100,100,0.316132131463261,FALSE
"Baron","DIFS","SC3","estimated",100,100,0.191450600341917,TRUE
"Baron","FEAST","SC3","estimated",100,100,0.180397497619408,TRUE
"Baron","GateOnly","SC3","estimated",100,100,0.180969598239271,TRUE
"Baron","Seurat","SC3","estimated",100,100,0.166360674199769,TRUE
"Baron","Variance","SC3","estimated",100,100,0.213048497287302,TRUE
"Baron","DIFS","Refined Louvain","estimated",200,200,0.313083872381778,TRUE
"Baron","FEAST","Refined Louvain","estimated",200,200,0.253946846671242,FALSE
"Baron","GateOnly","Refined Louvain","estimated",200,200,0.261933399118232,FALSE
"Baron","Seurat","Refined Louvain","estimated",200,200,0.154790209826368,FALSE
"Baron","Variance","Refined Louvain","estimated",200,200,0.317965441067247,FALSE
"Baron","DIFS","SC3","estimated",200,200,0.180878037991946,TRUE
"Baron","FEAST","SC3","estimated",200,200,0.156359740338675,TRUE
"Baron","GateOnly","SC3","estimated",200,200,0.15526467488907,TRUE
"Baron","Seurat","SC3","estimated",200,200,0.142585741246401,TRUE
"Baron","Variance","SC3","estimated",200,200,0.221866740531923,TRUE
"Baron","DIFS","Refined Louvain","estimated",300,300,0.288864257918581,TRUE
"Baron","FEAST","Refined Louvain","estimated",300,300,0.27300118977267,FALSE
"Baron","GateOnly","Refined Louvain","estimated",300,300,0.271531428251163,FALSE
"Baron","Seurat","Refined Louvain","estimated",300,300,0.24887645535932,FALSE
"Baron","Variance","Refined Louvain","estimated",300,300,0.304449021344951,FALSE
"Baron","DIFS","SC3","estimated",300,300,0.162192760756644,TRUE
"Baron","FEAST","SC3","estimated",300,300,0.174382816544917,TRUE
"Baron","GateOnly","SC3","estimated",300,300,0.149916586809072,TRUE
"Baron","Seurat","SC3","estimated",300,300,0.161974978757141,TRUE
"Baron","Variance","SC3","estimated",300,300,0.186693356231351,TRUE
"Baron","DIFS","Refined Louvain","estimated",500,500,0.260894073315848,TRUE
"Baron","FEAST","Refined Louvain","estimated",500,500,0.299034088279991,FALSE
"Baron","GateOnly","Refined Louvain","estimated",500,500,0.263529587926026,FALSE
"Baron","Seurat","Refined Louvain","estimated",500,500,0.236991671013712,FALSE
"Baron","Variance","Refined Louvain","estimated",500,500,0.283612554684824,FALSE
"Baron","DIFS","SC3","estimated",500,500,0.191715896271827,TRUE
"Baron","FEAST","SC3","estimated",500,500,0.149874849754905,TRUE
"Baron","GateOnly","SC3","estimated",500,500,0.180384976869733,TRUE
"Baron","Seurat","SC3","estimated",500,500,0.135253098111801,TRUE
"Baron","Variance","SC3","estimated",500,500,0.204788038529364,TRUE
"Baron","DIFS","Refined Louvain","estimated",750,750,0.25349252363168,TRUE
"Baron","FEAST","Refined Louvain","estimated",750,750,0.271297220355416,FALSE
"Baron","GateOnly","Refined Louvain","estimated",750,750,0.29383510269333,FALSE
"Baron","Seurat","Refined Louvain","estimated",750,750,0.263615016023016,FALSE
"Baron","Variance","Refined Louvain","estimated",750,750,0.271652161004242,FALSE
"Baron","DIFS","SC3","estimated",750,750,0.19174243527687,TRUE
"Baron","FEAST","SC3","estimated",750,750,0.180398330784322,TRUE
"Baron","GateOnly","SC3","estimated",750,750,0.186765615625013,TRUE
"Baron","Seurat","SC3","estimated",750,750,0.151158001866739,TRUE
"Baron","Variance","SC3","estimated",750,750,0.19760911811064,TRUE
"Baron","DIFS","Refined Louvain","estimated",1000,1000,0.259060086879714,TRUE
"Baron","FEAST","Refined Louvain","estimated",1000,1000,0.279575566802568,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1000,1000,0.247554056943513,FALSE
"Baron","Seurat","Refined Louvain","estimated",1000,1000,0.266768877732608,FALSE
"Baron","Variance","Refined Louvain","estimated",1000,1000,0.264929114032157,FALSE
"Baron","DIFS","SC3","estimated",1000,1000,0.195206197102766,TRUE
"Baron","FEAST","SC3","estimated",1000,1000,0.188553467295583,TRUE
"Baron","GateOnly","SC3","estimated",1000,1000,0.197496409171403,TRUE
"Baron","Seurat","SC3","estimated",1000,1000,0.154730621172911,TRUE
"Baron","Variance","SC3","estimated",1000,1000,0.189248084066728,TRUE
"Baron","DIFS","Refined Louvain","estimated",1500,1500,0.265864622799881,TRUE
"Baron","FEAST","Refined Louvain","estimated",1500,1500,0.27342179936858,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1500,1500,0.260231677674999,FALSE
"Baron","Seurat","Refined Louvain","estimated",1500,1500,0.275171178125036,FALSE
