"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","DIFS","Refined Louvain","estimated",0,1940,0.427242529746053,TRUE
"Baron","FEAST","Refined Louvain","estimated",0,1940,0.425336902180133,FALSE
"Baron","GateOnly","Refined Louvain","estimated",0,1940,0.397628486314278,FALSE
"Baron","Seurat","Refined Louvain","estimated",0,1940,0.407519023704425,FALSE
"Baron","Variance","Refined Louvain","estimated",0,1940,0.39381272471605,FALSE
"Baron","DIFS","SC3","estimated",0,1940,0.378468434270344,TRUE
"Baron","FEAST","SC3","estimated",0,1940,0.35183627856934,TRUE
"Baron","GateOnly","SC3","estimated",0,1940,0.352908084556068,TRUE
"Baron","Seurat","SC3","estimated",0,1940,0.351923262052887,TRUE
"Baron","Variance","SC3","estimated",0,1940,0.346685813444295,TRUE
"Baron","DIFS","Refined Louvain","estimated",100,100,0.429973636271986,TRUE
"Baron","FEAST","Refined Louvain","estimated",100,100,0.436584927512022,FALSE
"Baron","GateOnly","Refined Louvain","estimated",100,100,0.353771826375994,FALSE
"Baron","Seurat","Refined Louvain","estimated",100,100,0.243487487053532,FALSE
"Baron","Variance","Refined Louvain","estimated",100,100,0.463835894658067,FALSE
"Baron","DIFS","SC3","estimated",100,100,0.353619998350939,TRUE
"Baron","FEAST","SC3","estimated",100,100,0.336122365980694,TRUE
"Baron","GateOnly","SC3","estimated",100,100,0.324020763817476,TRUE
"Baron","Seurat","SC3","estimated",100,100,0.318027603710918,TRUE
"Baron","Variance","SC3","estimated",100,100,0.373166298502975,TRUE
"Baron","DIFS","Refined Louvain","estimated",200,200,0.461860525594313,TRUE
"Baron","FEAST","Refined Louvain","estimated",200,200,0.406752489072302,FALSE
"Baron","GateOnly","Refined Louvain","estimated",200,200,0.400114437410404,FALSE
"Baron","Seurat","Refined Louvain","estimated",200,200,0.295056197951348,FALSE
"Baron","Variance","Refined Louvain","estimated",200,200,0.468258273264053,FALSE
"Baron","DIFS","SC3","estimated",200,200,0.335466466124741,TRUE
"Baron","FEAST","SC3","estimated",200,200,0.305967662210279,TRUE
"Baron","GateOnly","SC3","estimated",200,200,0.308996164526314,TRUE
"Baron","Seurat","SC3","estimated",200,200,0.286691410478651,TRUE
"Baron","Variance","SC3","estimated",200,200,0.383403891068202,TRUE
"Baron","DIFS","Refined Louvain","estimated",300,300,0.44076973604208,TRUE
"Baron","FEAST","Refined Louvain","estimated",300,300,0.428926474837209,FALSE
"Baron","GateOnly","Refined Louvain","estimated",300,300,0.419609504325503,FALSE
"Baron","Seurat","Refined Louvain","estimated",300,300,0.400599734152424,FALSE
"Baron","Variance","Refined Louvain","estimated",300,300,0.457647110562843,FALSE
"Baron","DIFS","SC3","estimated",300,300,0.30826860038659,TRUE
"Baron","FEAST","SC3","estimated",300,300,0.333409836068437,TRUE
"Baron","GateOnly","SC3","estimated",300,300,0.297537324678984,TRUE
"Baron","Seurat","SC3","estimated",300,300,0.309238146208886,TRUE
"Baron","Variance","SC3","estimated",300,300,0.349221252428375,TRUE
"Baron","DIFS","Refined Louvain","estimated",500,500,0.416309894947163,TRUE
"Baron","FEAST","Refined Louvain","estimated",500,500,0.453827760605162,FALSE
"Baron","GateOnly","Refined Louvain","estimated",500,500,0.414993224927382,FALSE
"Baron","Seurat","Refined Louvain","estimated",500,500,0.382952746544483,FALSE
"Baron","Variance","Refined Louvain","estimated",500,500,0.439146219603021,FALSE
"Baron","DIFS","SC3","estimated",500,500,0.353519683716388,TRUE
"Baron","FEAST","SC3","estimated",500,500,0.304189130166976,TRUE
"Baron","GateOnly","SC3","estimated",500,500,0.336263766014041,TRUE
"Baron","Seurat","SC3","estimated",500,500,0.283405241942439,TRUE
"Baron","Variance","SC3","estimated",500,500,0.3669550788475,TRUE
"Baron","DIFS","Refined Louvain","estimated",750,750,0.412535026530544,TRUE
"Baron","FEAST","Refined Louvain","estimated",750,750,0.429154226978295,FALSE
"Baron","GateOnly","Refined Louvain","estimated",750,750,0.443656474468904,FALSE
"Baron","Seurat","Refined Louvain","estimated",750,750,0.418988928599344,FALSE
"Baron","Variance","Refined Louvain","estimated",750,750,0.427031905001841,FALSE
"Baron","DIFS","SC3","estimated",750,750,0.353908874671545,TRUE
"Baron","FEAST","SC3","estimated",750,750,0.340443165674104,TRUE
"Baron","GateOnly","SC3","estimated",750,750,0.347069928669735,TRUE
"Baron","Seurat","SC3","estimated",750,750,0.310180466906312,TRUE
"Baron","Variance","SC3","estimated",750,750,0.360809873273339,TRUE
"Baron","DIFS","Refined Louvain","estimated",1000,1000,0.418122037841183,TRUE
"Baron","FEAST","Refined Louvain","estimated",1000,1000,0.437000314392033,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1000,1000,0.404301030288795,FALSE
"Baron","Seurat","Refined Louvain","estimated",1000,1000,0.425504049824624,FALSE
"Baron","Variance","Refined Louvain","estimated",1000,1000,0.420892397805524,FALSE
"Baron","DIFS","SC3","estimated",1000,1000,0.358818880310179,TRUE
"Baron","FEAST","SC3","estimated",1000,1000,0.350139361693234,TRUE
"Baron","GateOnly","SC3","estimated",1000,1000,0.360291361805357,TRUE
"Baron","Seurat","SC3","estimated",1000,1000,0.315023352905786,TRUE
"Baron","Variance","SC3","estimated",1000,1000,0.351666081848306,TRUE
"Baron","DIFS","Refined Louvain","estimated",1500,1500,0.423881996458152,TRUE
"Baron","FEAST","Refined Louvain","estimated",1500,1500,0.431072919552092,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1500,1500,0.416059742091484,FALSE
"Baron","Seurat","Refined Louvain","estimated",1500,1500,0.43297415556646,FALSE
"Baron","Variance","Refined Louvain","estimated",1500,1500,0.415211155202117,FALSE
"Baron","DIFS","SC3","estimated",1500,1500,0.354777262608795,TRUE
"Baron","FEAST","SC3","estimated",1500,1500,0.343675907288919,TRUE
"Baron","GateOnly","SC3","estimated",1500,1500,0.338551126247946,TRUE
"Baron","Seurat","SC3","estimated",1500,1500,0.322595951414951,TRUE
"Baron","Variance","SC3","estimated",1500,1500,0.345120975788354,TRUE
