"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","DIFS","Refined Louvain","estimated",0,1940,0.188586332969187,TRUE
"Baron","FEAST","Refined Louvain","estimated",0,1940,0.185475391503496,FALSE
"Baron","GateOnly","Refined Louvain","estimated",0,1940,0.167760767138331,FALSE
"Baron","Seurat","Refined Louvain","estimated",0,1940,0.169789850435235,FALSE
"Baron","Variance","Refined Louvain","estimated",0,1940,0.165118964065659,FALSE
"Baron","DIFS","SC3","estimated",0,1940,0.147135745411584,TRUE
"Baron","FEAST","SC3","estimated",0,1940,0.127973961003437,TRUE
"Baron","GateOnly","SC3","estimated",0,1940,0.128854019816476,TRUE
"Baron","Seurat","SC3","estimated",0,1940,0.127101975477693,TRUE
"Baron","Variance","SC3","estimated",0,1940,0.123854581241223,TRUE
"Baron","DIFS","Refined Louvain","estimated",100,100,0.198938346943661,TRUE
"Baron","FEAST","Refined Louvain","estimated",100,100,0.199216342528616,FALSE
"Baron","GateOnly","Refined Louvain","estimated",100,100,0.161263820549946,FALSE
"Baron","Seurat","Refined Louvain","estimated",100,100,0.089366799632818,FALSE
"Baron","Variance","Refined Louvain","estimated",100,100,0.226498267682234,FALSE
"Baron","DIFS","SC3","estimated",100,100,0.129668757664144,TRUE
"Baron","FEAST","SC3","estimated",100,100,0.123354241410278,TRUE
"Baron","GateOnly","SC3","estimated",100,100,0.128243499971337,TRUE
"Baron","Seurat","SC3","estimated",100,100,0.114230039158859,TRUE
"Baron","Variance","SC3","estimated",100,100,0.146002291114142,TRUE
"Baron","DIFS","Refined Louvain","estimated",200,200,0.223812422171437,TRUE
"Baron","FEAST","Refined Louvain","estimated",200,200,0.178379597978065,FALSE
"Baron","GateOnly","Refined Louvain","estimated",200,200,0.190520751089814,FALSE
"Baron","Seurat","Refined Louvain","estimated",200,200,0.109671841085334,FALSE
"Baron","Variance","Refined Louvain","estimated",200,200,0.226948782006113,FALSE
"Baron","DIFS","SC3","estimated",200,200,0.124044216359966,TRUE
"Baron","FEAST","SC3","estimated",200,200,0.107450601522159,TRUE
"Baron","GateOnly","SC3","estimated",200,200,0.105429141416659,TRUE
"Baron","Seurat","SC3","estimated",200,200,0.0989210232480446,TRUE
"Baron","Variance","SC3","estimated",200,200,0.152056745660611,TRUE
"Baron","DIFS","Refined Louvain","estimated",300,300,0.20457308764505,TRUE
"Baron","FEAST","Refined Louvain","estimated",300,300,0.191428693531804,FALSE
"Baron","GateOnly","Refined Louvain","estimated",300,300,0.193114823066739,FALSE
"Baron","Seurat","Refined Louvain","estimated",300,300,0.175022064367887,FALSE
"Baron","Variance","Refined Louvain","estimated",300,300,0.215786483783492,FALSE
"Baron","DIFS","SC3","estimated",300,300,0.112989116945622,TRUE
"Baron","FEAST","SC3","estimated",300,300,0.118033080996471,TRUE
"Baron","GateOnly","SC3","estimated",300,300,0.103271942736764,TRUE
"Baron","Seurat","SC3","estimated",300,300,0.112407663815461,TRUE
"Baron","Variance","SC3","estimated",300,300,0.126110733537636,TRUE
"Baron","DIFS","Refined Louvain","estimated",500,500,0.182629023950026,TRUE
"Baron","FEAST","Refined Louvain","estimated",500,500,0.211200553421721,FALSE
"Baron","GateOnly","Refined Louvain","estimated",500,500,0.185931745775343,FALSE
"Baron","Seurat","Refined Louvain","estimated",500,500,0.168494275742412,FALSE
"Baron","Variance","Refined Louvain","estimated",500,500,0.19944217043421,FALSE
"Baron","DIFS","SC3","estimated",500,500,0.12995716151229,TRUE
"Baron","FEAST","SC3","estimated",500,500,0.101298630577815,TRUE
"Baron","GateOnly","SC3","estimated",500,500,0.123300219023566,TRUE
"Baron","Seurat","SC3","estimated",500,500,0.0921342755731294,TRUE
"Baron","Variance","SC3","estimated",500,500,0.139398742685342,TRUE
"Baron","DIFS","Refined Louvain","estimated",750,750,0.176022410840327,TRUE
"Baron","FEAST","Refined Louvain","estimated",750,750,0.18955419818765,FALSE
"Baron","GateOnly","Refined Louvain","estimated",750,750,0.209021634628789,FALSE
"Baron","Seurat","Refined Louvain","estimated",750,750,0.184654764104476,FALSE
"Baron","Variance","Refined Louvain","estimated",750,750,0.190605163125349,FALSE
"Baron","DIFS","SC3","estimated",750,750,0.129882260961472,TRUE
"Baron","FEAST","SC3","estimated",750,750,0.122160031901232,TRUE
"Baron","GateOnly","SC3","estimated",750,750,0.126740295182064,TRUE
"Baron","Seurat","SC3","estimated",750,750,0.101068736136418,TRUE
"Baron","Variance","SC3","estimated",750,750,0.133891368955406,TRUE
"Baron","DIFS","Refined Louvain","estimated",1000,1000,0.180126872375974,TRUE
"Baron","FEAST","Refined Louvain","estimated",1000,1000,0.195837303395991,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1000,1000,0.172355141763753,FALSE
"Baron","Seurat","Refined Louvain","estimated",1000,1000,0.185928385543388,FALSE
"Baron","Variance","Refined Louvain","estimated",1000,1000,0.185435341240067,FALSE
"Baron","DIFS","SC3","estimated",1000,1000,0.132035796883521,TRUE
"Baron","FEAST","SC3","estimated",1000,1000,0.127707790281469,TRUE
"Baron","GateOnly","SC3","estimated",1000,1000,0.133913959781906,TRUE
"Baron","Seurat","SC3","estimated",1000,1000,0.1033768789383,TRUE
"Baron","Variance","SC3","estimated",1000,1000,0.127999702780039,TRUE
"Baron","DIFS","Refined Louvain","estimated",1500,1500,0.185478869830379,TRUE
"Baron","FEAST","Refined Louvain","estimated",1500,1500,0.191194420825475,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1500,1500,0.182005104556738,FALSE
"Baron","Seurat","Refined Louvain","estimated",1500,1500,0.19244615761186,FALSE
"Baron","Variance","Refined Louvain","estimated",1500,1500,0.180640210318146,FALSE
"Baron","DIFS","SC3","estimated",1500,1500,0.129180610012812,TRUE
"Baron","FEAST","SC3","estimated",1500,1500,0.122306620814242,TRUE
"Baron","GateOnly","SC3","estimated",1500,1500,0.118545209331743,TRUE
"Baron","Seurat","SC3","estimated",1500,1500,0.109898897442603,TRUE
"Baron","Variance","SC3","estimated",1500,1500,0.122707472838681,TRUE
"Baron","DIFS","Refined Louvain","estimated",2500,2500,0.18854840753897,TRUE
"Baron","FEAST","Refined Louvain","estimated",2500,2500,0.19027893056006,FALSE
"Baron","GateOnly","Refined Louvain","estimated",2500,1940,0.167760767138331,FALSE
"Baron","Seurat","Refined Louvain","estimated",2500,2500,0.19605784720833,FALSE
"Baron","Variance","Refined Louvain","estimated",2500,2500,0.168596781491451,FALSE
"Baron","DIFS","SC3","estimated",2500,2500,0.139026322085965,TRUE
"Baron","FEAST","SC3","estimated",2500,2500,0.126459242210163,TRUE
"Baron","GateOnly","SC3","estimated",2500,1940,0.128854019816476,TRUE
"Baron","Seurat","SC3","estimated",2500,2500,0.115971888626914,TRUE
"Baron","Variance","SC3","estimated",2500,2500,0.137138070696148,TRUE
"Baron","DIFS","Refined Louvain","true",0,1940,0.396420882537679,TRUE
"Baron","FEAST","Refined Louvain","true",0,1940,0.404055613322157,FALSE
"Baron","GateOnly","Refined Louvain","true",0,1940,0.389068882848165,FALSE
"Baron","Seurat","Refined Louvain","true",0,1940,0.480772509598344,FALSE
"Baron","Variance","Refined Louvain","true",0,1940,0.389929673015227,FALSE
"Baron","DIFS","SC3","true",0,1940,0.497727648411286,TRUE
"Baron","FEAST","SC3","true",0,1940,0.425206034814927,TRUE
"Baron","GateOnly","SC3","true",0,1940,0.463084536902063,TRUE
"Baron","Seurat","SC3","true",0,1940,0.473992716663722,TRUE
"Baron","Variance","SC3","true",0,1940,0.462974986109288,TRUE
"Baron","DIFS","Refined Louvain","true",100,100,0.50571061246364,TRUE
"Baron","FEAST","Refined Louvain","true",100,100,0.423146372079254,FALSE
"Baron","GateOnly","Refined Louvain","true",100,100,0.267430959320715,FALSE
"Baron","Seurat","Refined Louvain","true",100,100,0.244816641054019,FALSE
"Baron","Variance","Refined Louvain","true",100,100,0.424480892119924,FALSE
"Baron","DIFS","SC3","true",100,100,0.706894784286691,TRUE
"Baron","FEAST","SC3","true",100,100,0.697695417010082,TRUE
"Baron","GateOnly","SC3","true",100,100,0.496159416560153,TRUE
"Baron","Seurat","SC3","true",100,100,0.859865546196555,TRUE
"Baron","Variance","SC3","true",100,100,0.444196234822889,TRUE
