"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","DIFS","Refined Louvain","estimated",0,1940,0.956237600653518,TRUE
"Baron","FEAST","Refined Louvain","estimated",0,1940,0.961138989380324,FALSE
"Baron","GateOnly","Refined Louvain","estimated",0,1940,0.926945968024274,FALSE
"Baron","Seurat","Refined Louvain","estimated",0,1940,0.975843155560742,FALSE
"Baron","Variance","Refined Louvain","estimated",0,1940,0.933597852724939,FALSE
"Baron","DIFS","SC3","estimated",0,1940,0.965690278912358,TRUE
"Baron","FEAST","SC3","estimated",0,1940,0.969424670323258,TRUE
"Baron","GateOnly","SC3","estimated",0,1940,0.964289882133271,TRUE
"Baron","Seurat","SC3","estimated",0,1940,0.972575563076205,TRUE
"Baron","Variance","SC3","estimated",0,1940,0.96790757381258,TRUE
"Baron","DIFS","Refined Louvain","estimated",100,100,0.926595868829502,TRUE
"Baron","FEAST","Refined Louvain","estimated",100,100,0.300385109114249,FALSE
"Baron","GateOnly","Refined Louvain","estimated",100,100,0.802427354417085,FALSE
"Baron","Seurat","Refined Louvain","estimated",100,100,0.731473917609989,FALSE
"Baron","Variance","Refined Louvain","estimated",100,100,0.938966040378107,FALSE
"Baron","DIFS","SC3","estimated",100,100,0.95472050414284,TRUE
"Baron","FEAST","SC3","estimated",100,100,0.930680359435173,TRUE
"Baron","GateOnly","SC3","estimated",100,100,0.853658536585366,TRUE
"Baron","Seurat","SC3","estimated",100,100,0.929163262924495,TRUE
"Baron","Variance","SC3","estimated",100,100,0.9527366087058,TRUE
"Baron","DIFS","Refined Louvain","estimated",200,200,0.954370404948069,TRUE
"Baron","FEAST","Refined Louvain","estimated",200,200,0.92251137822383,FALSE
"Baron","GateOnly","Refined Louvain","estimated",200,200,0.861594118333528,FALSE
"Baron","Seurat","Refined Louvain","estimated",200,200,0.853425137122185,FALSE
"Baron","Variance","Refined Louvain","estimated",200,200,0.954137005484887,FALSE
"Baron","DIFS","SC3","estimated",200,200,0.937448943867429,TRUE
"Baron","FEAST","SC3","estimated",200,200,0.906640214727506,TRUE
"Baron","GateOnly","SC3","estimated",200,200,0.92064418251838,TRUE
"Baron","Seurat","SC3","estimated",200,200,0.877815381024624,TRUE
"Baron","Variance","SC3","estimated",200,200,0.957171198506243,TRUE
"Baron","DIFS","Refined Louvain","estimated",300,300,0.941533434473101,TRUE
"Baron","FEAST","Refined Louvain","estimated",300,300,0.949819115416035,FALSE
"Baron","GateOnly","Refined Louvain","estimated",300,300,0.898354533784572,FALSE
"Baron","Seurat","Refined Louvain","estimated",300,300,0.91866028708134,FALSE
"Baron","Variance","Refined Louvain","estimated",300,300,0.957287898237834,FALSE
"Baron","DIFS","SC3","estimated",300,300,0.924962072587233,TRUE
"Baron","FEAST","SC3","estimated",300,300,0.954837203874431,TRUE
"Baron","GateOnly","SC3","estimated",300,300,0.908157311238184,TRUE
"Baron","Seurat","SC3","estimated",300,300,0.907457112848641,TRUE
"Baron","Variance","SC3","estimated",300,300,0.963589683743727,TRUE
"Baron","DIFS","Refined Louvain","estimated",500,500,0.942233632862644,TRUE
"Baron","FEAST","Refined Louvain","estimated",500,500,0.968257673007352,FALSE
"Baron","GateOnly","Refined Louvain","estimated",500,500,0.915859493523165,FALSE
"Baron","Seurat","Refined Louvain","estimated",500,500,0.906873614190687,FALSE
"Baron","Variance","Refined Louvain","estimated",500,500,0.956120900921928,FALSE
"Baron","DIFS","SC3","estimated",500,500,0.963122884817365,TRUE
"Baron","FEAST","SC3","estimated",500,500,0.957054498774653,TRUE
"Baron","GateOnly","SC3","estimated",500,500,0.932080756214261,TRUE
"Baron","Seurat","SC3","estimated",500,500,0.91107480452795,TRUE
"Baron","Variance","SC3","estimated",500,500,0.96032209125919,TRUE
"Baron","DIFS","Refined Louvain","estimated",750,750,0.957171198506243,TRUE
"Baron","FEAST","Refined Louvain","estimated",750,750,0.962422686427821,FALSE
"Baron","GateOnly","Refined Louvain","estimated",750,750,0.916209592717937,FALSE
"Baron","Seurat","Refined Louvain","estimated",750,750,0.951919710584666,FALSE
"Baron","Variance","Refined Louvain","estimated",750,750,0.945617925078772,FALSE
"Baron","DIFS","SC3","estimated",750,750,0.959738592601237,TRUE
"Baron","FEAST","SC3","estimated",750,750,0.955887501458747,TRUE
"Baron","GateOnly","SC3","estimated",750,750,0.947368421052632,TRUE
"Baron","Seurat","SC3","estimated",750,750,0.958921694480103,TRUE
"Baron","Variance","SC3","estimated",750,750,0.966273777570312,TRUE
"Baron","DIFS","Refined Louvain","estimated",1000,1000,0.95833819582215,TRUE
"Baron","FEAST","Refined Louvain","estimated",1000,1000,0.96604037810713,FALSE
"Baron","GateOnly","Refined Louvain","estimated",1000,1000,0.93756564359902,FALSE
"Baron","Seurat","Refined Louvain","estimated",1000,1000,0.968140973275761,FALSE
"Baron","Variance","Refined Louvain","estimated",1000,1000,0.943167230715369,FALSE
"Baron","DIFS","SC3","estimated",1000,1000,0.970008168981211,TRUE
"Baron","FEAST","SC3","estimated",1000,1000,0.962305986696231,TRUE
"Baron","GateOnly","SC3","estimated",1000,1000,0.958688295016921,TRUE
"Baron","Seurat","SC3","estimated",1000,1000,0.963939782938499,TRUE
"Baron","Variance","SC3","estimated",1000,1000,0.96032209125919,TRUE
"Baron","DIFS","Refined Louvain","estimated",1500,1500,0.955887501458747,TRUE
