"dataset","feature_method","clustering_method","k_policy","n_requested"
"SimKumar4hard","FEAST","Refined Louvain","estimated",0
"SimKumar4hard","FEAST","SC3","estimated",0
"SimKumar4hard","FEAST","Refined Louvain","estimated",100
"SimKumar4hard","FEAST","SC3","estimated",100
"Zhengmix8eq","Seurat","SC3","estimated",100
"Zhengmix8eq","Seurat","SC3","true",100
"SimKumar4hard","FEAST","Refined Louvain","estimated",200
"SimKumar4hard","FEAST","SC3","estimated",200
"SimKumar4hard","FEAST","Refined Louvain","estimated",300
"SimKumar4hard","FEAST","SC3","estimated",300
"SimKumar4hard","FEAST","Refined Louvain","estimated",500
"SimKumar4hard","FEAST","SC3","estimated",500
"SimKumar4hard","FEAST","Refined Louvain","estimated",750
"SimKumar4hard","FEAST","SC3","estimated",750
"SimKumar4hard","FEAST","Refined Louvain","estimated",1000
"SimKumar4hard","FEAST","SC3","estimated",1000
"SimKumar4hard","FEAST","Refined Louvain","estimated",1500
"SimKumar4hard","FEAST","SC3","estimated",1500
"SimKumar4hard","FEAST","Refined Louvain","estimated",2500
"SimKumar4hard","FEAST","SC3","estimated",2500
